datapoint,tab_name,cell_location
ASP ID,Cell Line Information,D5
STRIPPED Cell Line Name DepMap,Cell Line Information,D3
Media (Culture Conditions),Cell Line Information,D9
Cell Type,Cell Line Information,D11
Registration ID,Cell Line Information,D4
Library,Cell Line Information,D25
