library,file_name,file_path
PARALOGV2,CELL LINE TEMPLATE PARALOGV2.xlsx,/Volumes/GoogleDrive/Shared drives/GPP Cloud /Screening /Achilles/CRISPR/CRISPR screens/Templates/
HUMAGNE,CELL LINE TEMPLATE HUMAGNE.xlsx,/Volumes/GoogleDrive/Shared drives/GPP Cloud /Screening /Achilles/CRISPR/CRISPR screens/Templates/
AVANA4,CELL LINE TEMPLATE AVANA4.xlsx,/Volumes/GoogleDrive/Shared drives/GPP Cloud /Screening /Achilles/CRISPR/CRISPR screens/Templates/
